task_id,level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff
l4_product_x_product,4,oracle_coords_only,depth7_high_capacity,0.01355498511201303,-0.0006594292802424441,0.3612549043170318,0.20877164065802747,0.038704468974465556,0.800418896113392,0.8901403532979235,,,0.013317648982177707,0.003173074763268232,,,0.0011564689972725546,7.565864823588057e-05,,,,,18,0.8333333333333334,0.6077796189608428,0.9416342319413856,18.0
l4_product_x_product,4,oracle_s_only,baseline,0.018205271075188934,0.004660477857357104,0.3478713432464124,0.2188957363048873,0.05938930349325695,0.8037364822637101,0.9028423868337161,,,0.01285234422099602,0.0026047532572411004,,,0.0016172844372629768,3.783830580054664e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l4_product_x_product,4,oracle_s_only,depth4_light,0.019831640860308183,0.005001122379858869,0.39499854909800114,0.2304732397883129,0.049387282293242324,0.8026515322832111,0.9065488589485673,,,0.01373518573293404,0.0020512533684726806,,,0.001357296276503898,1.3365718779386478e-05,,,,,18,1.0,0.8241207763533425,1.0,18.0
l4_product_x_product,4,oracle_s_only,depth7_high_capacity,0.01920374334942815,0.006235389008233495,0.37187318276291703,0.21003245038812934,0.04958315141591697,0.800418896113392,0.9045516933164228,,,0.013317648982177707,0.0025443169698468413,,,0.0011564689972725546,4.760158771599311e-05,,,,,18,1.0,0.8241207763533425,1.0,18.0
l4_ratio_x_ratio,4,oracle_coords_only,baseline,0.10565978199092199,0.009126627407100893,0.1620036983170819,0.07907657638019625,0.10275151241995972,0.06763584359641603,0.19827333080821935,0.0026368930615484716,0.0011333033436909318,,,2.7459167103021005e-05,9.404437311497095e-06,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l4_ratio_x_ratio,4,oracle_coords_only,depth4_light,0.11378204656706334,0.006617766804954376,0.17511472027685557,0.0742773829634508,0.08211661617696714,0.062252490674286926,0.2005902969124907,0.003610317400470376,0.0013431335650384425,,,3.0091173861280353e-05,1.3682520882483327e-05,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l4_ratio_x_ratio,4,oracle_coords_only,depth7_high_capacity,0.10027829853617198,0.005905565986046474,0.15056479266421724,0.07331882657143399,0.09731700062103964,0.06710878829794006,0.1805012877567436,0.0036210308400914074,0.0019758480578660966,,,3.5646874671796286e-05,1.9423048193537296e-05,,,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l4_ratio_x_ratio,4,oracle_s_only,baseline,0.11246133062892394,0.024985262645609334,0.1647777649869833,0.07360677778086465,0.09871367572112918,0.06763584359641603,0.20236443190462414,0.0026368930615484716,0.000536183974146843,,,2.7459167103021005e-05,2.861253852754182e-06,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l4_ratio_x_ratio,4,oracle_s_only,depth4_light,0.12327251554656699,0.02244633111723111,0.17227665082913426,0.06536774041504578,0.09661194116581105,0.062252490674286926,0.21233449467903107,0.003610317400470376,0.00016686292439699172,,,3.0091173861280353e-05,8.140964575749909e-07,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l4_ratio_x_ratio,4,oracle_s_only,depth7_high_capacity,0.11868182966717832,0.009942311124223046,0.16662960570866375,0.06796960649915545,0.10199335775778759,0.06710878829794006,0.20095189723710338,0.0036210308400914074,0.0009673932295292617,,,3.5646874671796286e-05,6.8734750064319306e-06,,,,,,,18,1.0,0.8241207763533425,1.0,18.0
l5_ratio_x_product,5,oracle_coords_only,baseline,0.04960829578444931,0.004221726769539651,0.39124222545128434,0.13385731807098905,0.028891492179026174,0.37613254923720474,0.45268914966583645,0.012526264842553064,0.004920595774566754,0.006157258638273925,0.0022301774068269878,0.0005711349096803674,0.00016470913502070856,0.0001778213258641231,2.812167384458937e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l5_ratio_x_product,5,oracle_coords_only,depth4_light,0.04593307392495774,0.00674828210398587,0.39427477106058867,0.13575855911723833,0.02471549770243736,0.3812787177049683,0.45827916701690274,0.014402132200123742,0.004261680088448338,0.007357995580811984,0.0017881989893503488,0.000771587975651641,0.0001168905467679418,0.00029922678127905473,1.4014942554502855e-05,,,,,18,1.0,0.8241207763533425,1.0,18.0
l5_ratio_x_product,5,oracle_coords_only,depth7_high_capacity,0.044295285775506066,0.003987801375272061,0.3572827216328388,0.12486671245307261,0.02800095361185076,0.37810225732896346,0.44391825531596213,0.011373305082321167,0.005475008756062016,0.0056330257054883984,0.0029112018177052962,0.0006227604717380863,0.00012280925801134946,0.0001379228663271513,3.981856440781462e-05,,,,,18,0.9444444444444444,0.7424269921812741,0.990124809021697,18.0
l5_ratio_x_product,5,oracle_s_only,baseline,0.062121924406114026,0.01777985534190448,0.4153767233530148,0.13977521759216388,0.03852950906699533,0.37613254923720474,0.47676516835796967,0.012526264842553064,0.0023343749234452844,0.006157258638273925,0.0007193363764323294,0.0005711349096803674,2.5915063879770016e-05,0.0001778213258641231,4.718607166535221e-06,,,,,18,1.0,0.8241207763533425,1.0,18.0
l5_ratio_x_product,5,oracle_s_only,depth4_light,0.06760389243807119,0.019503388952437063,0.43961169106816644,0.14623877717791228,0.04282738230629553,0.3812787177049683,0.4860013762865073,0.014402132200123742,0.0016647738011553882,0.007357995580811984,0.0006113350788597017,0.000771587975651641,1.3798369690874785e-05,0.00029922678127905473,3.2778297532025434e-06,,,,,18,1.0,0.8241207763533425,1.0,18.0
