task_id,level,task_kind,regime_id,regime_family,seed,n,oracle_mode,model_variant,xgb_config_id,best_iteration,best_score,prauc_oracle,rocauc_oracle,logloss_oracle,ratio_scale_invariance_oracle,product_comp_invariance_oracle,iso_var_ratio_oracle,iso_var_product_oracle,prevalence_train,prevalence_val,prevalence_test,sigma,rho,mixture_json,shift_type,shift_cols_json,dominance_train_mean,dominance_train_median,dominance_train_p90,dominance_test_mean,dominance_test_median,dominance_test_p90,dominance_train_groups_json,dominance_test_groups_json,source_path,prauc_raw,rocauc_raw,logloss_raw,ratio_scale_invariance_raw,product_comp_invariance_raw,iso_var_ratio_raw,iso_var_product_raw,delta_prauc,delta_rocauc,delta_logloss
l7_gated_ratio_vs_product,7,gated,ln_sigma0.7_rho0.5,tail_corr,2,30000,oracle_coords_only,oracle,baseline,110,0.36779859805883275,0.33344816636743324,0.8493532800690109,0.14633063754957626,0.0375973725810647,0.016050514683499932,0.005854845656165479,0.0009247842686619715,0.05188888888888889,0.051666666666666666,0.04533333333333334,0.7,0.5,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.3327149783494041,0.8455086468945119,0.14987357536669665,0.027409725869446993,0.018807771690934897,0.003497646993152691,0.001170183557346478,0.0007331880180291295,0.0038446331744990125,-0.003542937817120395
l7_gated_ratio_vs_product,7,gated,ln_sigma0.7_rho0.5,tail_corr,2,30000,oracle_s_only,oracle,depth7_high_capacity,149,0.35620486751079794,0.3330144230869745,0.8510400406671048,0.14141112473593032,0.03490515671912581,0.017382074066717178,0.00604660432162905,0.0016266702719916202,0.05188888888888889,0.051666666666666666,0.04533333333333334,0.7,0.5,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.3219132044982531,0.8360215812931318,0.207546494800759,0.02161990559846163,0.014070631011575461,0.0018698612614193144,0.0005302131248308067,0.011101218588721373,0.015018459373973059,-0.0661353700648287
l7_gated_ratio_vs_product,7,gated,ln_sigma0.7_rho0.5,tail_corr,2,30000,oracle_coords_only,oracle,depth7_high_capacity,54,0.35884525476973184,0.32852356413074,0.84336970865511,0.22807001980990887,0.02927063610255718,0.012396544562280178,0.003388406317350057,0.0005869913850937979,0.05188888888888889,0.051666666666666666,0.04533333333333334,0.7,0.5,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.3219132044982531,0.8360215812931318,0.207546494800759,0.02161990559846163,0.014070631011575461,0.0018698612614193144,0.0005302131248308067,0.006610359632486906,0.007348127361978207,0.020523525009149862
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,0,30000,oracle_s_only,oracle,depth4_light,15,0.4945499421549221,0.41103201125310107,0.8898459445224719,0.36377244480794463,0.01594793464243412,0.009331512048840522,0.0011821342449480315,0.000520782140821207,0.05,0.051833333333333335,0.050666666666666665,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.39258667123737334,0.8825448260090183,0.14587588559380904,0.03071752985101193,0.015811205456126482,0.004441538684658024,0.0007643040086468061,0.01844534001572773,0.007301118513453608,0.2178965592141356
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,0,30000,oracle_coords_only,oracle,depth4_light,31,0.49915620681876305,0.4052300666279007,0.8834324525983147,0.23790344447667433,0.024471466405689715,0.014658771066367626,0.002968164352340314,0.001002147649129886,0.05,0.051833333333333335,0.050666666666666665,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.39258667123737334,0.8825448260090183,0.14587588559380904,0.03071752985101193,0.015811205456126482,0.004441538684658024,0.0007643040086468061,0.012643395390527334,0.0008876265892964197,0.09202755888286529
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,0,30000,oracle_s_only,oracle,baseline,118,0.48071871560280915,0.40951133646198296,0.8893443806364577,0.14284680150415194,0.03276196111049503,0.018450552625861018,0.0068216058511501995,0.002239009794863048,0.05,0.051833333333333335,0.050666666666666665,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4027160801541581,0.8841205508944411,0.14276434141945338,0.029286313905194403,0.016550112426280975,0.004552733949763036,0.001098379366913178,0.0067952563078248485,0.005223829742016628,8.246008469856014e-05
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,0,30000,oracle_coords_only,oracle,baseline,121,0.4924604442903684,0.40801407107990495,0.8825390509498817,0.14363903756328428,0.03176578269600868,0.015983730286266654,0.005096994879843321,0.0013640749862527362,0.05,0.051833333333333335,0.050666666666666665,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.4027160801541581,0.8841205508944411,0.14276434141945338,0.029286313905194403,0.016550112426280975,0.004552733949763036,0.001098379366913178,0.005297990925746843,-0.0015814999445593614,0.0008746961438308998
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,0,30000,oracle_s_only,oracle,depth7_high_capacity,86,0.47083226713873444,0.4041162744763735,0.889656811335748,0.16986856558159588,0.02878628409281373,0.018661315673962234,0.004472121754572953,0.001960616637357967,0.05,0.051833333333333335,0.050666666666666665,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.38894090837302076,0.8820409520993496,0.14398445237352103,0.029143314258102328,0.015688316988945007,0.004422366800853817,0.0009531781205934679,0.015175366103352739,0.0076158592363984035,0.02588411320807485
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,0,30000,oracle_coords_only,oracle,depth7_high_capacity,171,0.47743454467000274,0.4001302427197768,0.8801828268221469,0.14198335178090538,0.0317239739282988,0.016093996000429614,0.005104486867223327,0.001186328795016398,0.05,0.051833333333333335,0.050666666666666665,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.38894090837302076,0.8820409520993496,0.14398445237352103,0.029143314258102328,0.015688316988945007,0.004422366800853817,0.0009531781205934679,0.011189334346756064,-0.001858125277202749,-0.0020011005926156566
l7_gated_ratio_vs_product,7,gated,ln_sigma1.2_rho0.9,tail_corr,1,30000,oracle_s_only,oracle,depth4_light,6,0.3946168726513226,0.4264676430724425,0.8816117693746811,0.5048875349789533,0.008227793973684311,0.0045900085747241975,0.0003893259272323106,0.00012309967189489792,0.04911111111111111,0.04683333333333333,0.051666666666666666,1.2,0.9,,none,,,,,,,,,,runs/exp_default/20251213_124943/results.parquet,0.3974639487036114,0.8770140030613981,0.14508244681841473,0.03237475019628182,0.01434370616946835,0.003679243363884475,0.0007004158472967203,0.0290036943688311,0.004597766313283014,0.3598050881605386
