level,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff,delta_prauc_median_loo_task_min,delta_prauc_median_loo_task_max,delta_prauc_median_loo_task_n_loo
2,oracle_s_only,depth4_light,0.012222040892273259,-0.007070783368397976,0.0668935869910926,0.060951297222497876,0.03711360956514537,0.1352283828050086,0.16228196719388854,0.009494561515003441,0.0005023640744388103,0.011604366366937756,0.002308325850404799,0.00014315441306678658,9.630417420505233e-07,0.0005312782524174138,1.6049174492138568e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36,0.6944444444444444,0.5314372714948966,0.8199554840517008,36.0,0.007373771135214396,0.017638707725069112,2.0
2,oracle_s_only,depth7_high_capacity,0.01591065051868909,-0.004080725489981597,0.07034375529500211,0.05760734915257988,0.036862970382202556,0.12214545102928107,0.15108668570204675,0.009385990660917014,0.0021356372436508535,0.013852137903403491,0.005215692481026053,0.00016459312201874655,1.235077581315832e-05,0.0005715000563918931,7.042295721289849e-05,0.6161735817367142,0.7338034471683486,0.6163596507718605,0.7336400462686874,36,0.8333333333333334,0.6810920568872054,0.9212955240498188,36.0,0.013198197295385364,0.020189291823514935,2.0
3,oracle_coords_only,baseline,0.028010866345972968,-0.006520400814948105,0.1526683085609486,0.0633346255018283,0.032219909210432926,0.21055420977750347,0.3186408126001493,0.014673330675670877,0.002791505240648985,0.016298157162987627,0.005958866619411855,0.0006124343043550466,2.5453974983168583e-05,0.0005373727906850472,7.999341627128054e-05,,,,,36,0.8333333333333334,0.6810920568872054,0.9212955240498188,36.0,0.025232833815370573,0.028485245596875625,2.0
3,oracle_coords_only,depth4_light,0.02137810818420091,-0.00233342600544352,0.14965596758602095,0.062159089786038325,0.029696930800157312,0.2180872976001555,0.3247211144326572,0.014434873995278031,0.0021676899956539273,0.01605003204443492,0.005901242371695116,0.0006705796990190012,2.1462823402992327e-05,0.0004686125951510994,6.228584293492687e-05,,,,,36,0.8333333333333334,0.6810920568872054,0.9212955240498188,36.0,0.017383878734169605,0.024836058607235728,2.0
3,oracle_coords_only,depth7_high_capacity,0.027216962750690243,-0.0011754949261521541,0.15512635330281038,0.06289332302822856,0.04295380348585426,0.19785764438973302,0.3034657056379615,0.012994925537914969,0.003649690580740571,0.013823333546845243,0.006937372226268053,0.00040108173060305106,3.968564371977433e-05,0.000405001039361717,0.0001024001108049552,,,,,36,0.8333333333333334,0.6810920568872054,0.9212955240498188,36.0,0.0135571431528301,0.03202690399344206,2.0
3,oracle_s_only,baseline,0.04674467225341948,0.0062363290260391,0.15331307622750595,0.061141024409444196,0.04114003658284868,0.21055420977750347,0.3297992860886857,0.014673330675670877,0.0029367864061146977,0.016298157162987627,0.0023679271340370177,0.0006124343043550466,1.8538945932049827e-05,0.0005373727906850472,1.9047378872181304e-05,,,,,36,0.9444444444444444,0.8185534279135275,0.9846300133358382,36.0,0.03999395569481248,0.04976971932956582,2.0
3,oracle_s_only,depth4_light,0.03576949059779666,0.00611712986544688,0.16029733237797072,0.06167478620506744,0.04422724762668875,0.2180872976001555,0.3341984320875961,0.014434873995278031,0.0014393686302006244,0.01605003204443492,0.002312725231051445,0.0006705796990190012,7.639661127302676e-06,0.0004686125951510994,1.7716870423761013e-05,,,,,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.030950242625273558,0.03831995111444686,2.0
3,oracle_s_only,depth7_high_capacity,0.048971347736203374,0.006682532648741232,0.17851450766557952,0.0697898019613394,0.048058346036117305,0.19785764438973302,0.32218274683275616,0.012994925537914969,0.0038931037798523903,0.013823333546845243,0.00510757057480514,0.00040108173060305106,3.429732335927676e-05,0.000405001039361717,5.326755524365769e-05,,,,,36,0.9166666666666666,0.7817330875072737,0.9712513886640066,36.0,0.04501696646952977,0.05141643832467313,2.0
4,oracle_coords_only,baseline,0.03538010532795188,0.0001932737197616538,0.18971668835328784,0.16352087089728765,0.11669157369705047,0.1156597287377707,0.23555496081480776,0.0026368930615484716,0.0011333033436909318,0.01285234422099602,0.003388760027708486,2.7459167103021005e-05,9.404437311497095e-06,0.0016172844372629768,5.4548149691946176e-05,,,,,36,0.8888888888888888,0.7468519140963513,0.9559335969968435,36.0,0.012126517887704566,0.10565978199092199,2.0
4,oracle_coords_only,depth4_light,0.045459943845563525,0.002846930926558411,0.23058343693462025,0.1719716183954201,0.11397285426964543,0.11294307746805927,0.23718000781485649,0.003610317400470376,0.0013431335650384425,0.01373518573293404,0.0022790343835484236,3.0091173861280353e-05,1.3682520882483327e-05,0.001357296276503898,4.6801367487152824e-05,,,,,36,0.9444444444444444,0.8185534279135275,0.9846300133358382,36.0,0.015050355819368588,0.11378204656706334,2.0
