regime_family,oracle_mode,xgb_config_id,delta_prauc_median,delta_prauc_p10,delta_prauc_p90,delta_prauc_std,delta_prauc_iqr,prauc_raw_median,prauc_oracle_median,ratio_scale_invariance_raw_median,ratio_scale_invariance_oracle_median,product_comp_invariance_raw_median,product_comp_invariance_oracle_median,iso_var_ratio_raw_median,iso_var_ratio_oracle_median,iso_var_product_raw_median,iso_var_product_oracle_median,dominance_train_mean_median,dominance_train_p90_median,dominance_test_mean_median,dominance_test_p90_median,n_runs,delta_prauc_pos_rate_frac_pos,delta_prauc_pos_rate_ci_lo,delta_prauc_pos_rate_ci_hi,delta_prauc_pos_rate_n_eff,delta_prauc_median_loo_task_min,delta_prauc_median_loo_task_max,delta_prauc_median_loo_task_n_loo
shift_naive,oracle_s_only,depth4_light,0.023118517669409124,-0.012240942132508675,0.09448167774563643,0.0582150851807584,0.06285727245470853,0.344304406574011,0.3523416639986403,0.010774696453660727,0.0009392885059118271,0.017100393054028974,0.0022531745702028274,0.0002873664483142656,4.527131998138212e-06,0.0007908552987811097,1.5348307540101227e-05,0.6301903563037943,0.760284675463569,0.7225625320160965,0.9000488676239455,36,0.7222222222222222,0.5600751000260289,0.841516620598654,36.0,0.020680084361738772,0.030243054215334873,12.0
shift_naive,oracle_s_only,depth7_high_capacity,0.027027367839976613,-0.008055719683106172,0.11274368227174036,0.05596526113799731,0.053782371608437976,0.3057707022897445,0.35719254522541205,0.010976332794874907,0.004131817291676998,0.017342035579588265,0.005624265674129128,0.0003408726748091142,4.2829982438172535e-05,0.0005981872503921226,9.075253582871239e-05,0.6301903563037943,0.760284675463569,0.7225625320160965,0.9000488676239455,36,0.8055555555555556,0.6497195700482261,0.9024690458107127,36.0,0.02321798165255451,0.02806749974770817,12.0
shift_preserve,oracle_coords_only,baseline,0.14638267987113446,0.01737050998212381,0.3922277746752146,0.17263275821007515,0.1854305078171036,0.12557656506329906,0.3517191705600714,0.011272449898719788,0.0019975821524858477,0.017495547944121063,0.0035094232052564622,0.0002511139631079723,1.4917719145175248e-05,0.0007314042363173682,3.893497447322297e-05,0.629497555449894,0.7595961694780973,0.6299896565769142,0.7595333464816942,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.1281639218622658,0.15705434241196709,12.0
shift_preserve,oracle_coords_only,depth4_light,0.14965596758602095,0.017319049088852585,0.39758129965834543,0.18212029463024237,0.2366122761593148,0.12462989919018484,0.36774326518617645,0.010920157715957612,0.0014703547531738877,0.014892961671995,0.0012986187864094973,0.0002732046294875656,1.0607025151880514e-05,0.0005423531018095152,8.080160253191731e-06,0.629497555449894,0.7595961694780973,0.6299896565769142,0.7595333464816942,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.14338448284752167,0.15245173248117233,12.0
shift_preserve,oracle_coords_only,depth7_high_capacity,0.14500923600495597,0.012738947515838355,0.36279283283048125,0.16634266382418544,0.20528022364329992,0.11640351519023895,0.31436877724805223,0.009720877300947905,0.003232139131426811,0.016009796022064985,0.0032506082728505133,0.00021367072582780222,3.578577304566555e-05,0.0008433126565556657,2.8069140523938794e-05,0.629497555449894,0.7595961694780973,0.6299896565769142,0.7595333464816942,36,1.0,0.9035813714055363,1.0,36.0,0.1375876763058369,0.15070104495494727,12.0
shift_preserve,oracle_s_only,baseline,0.15122701714210257,0.01887833646550121,0.41805852924850634,0.17777351147896728,0.20964683076826318,0.12557656506329906,0.3636636638499815,0.011272449898719788,0.0013236537978053094,0.017495547944121063,0.0022261735767126084,0.0002511139631079723,6.820776748930739e-06,0.0007314042363173682,1.4217488531569393e-05,0.629497555449894,0.7595961694780973,0.6299896565769142,0.7595333464816942,36,1.0,0.9035813714055363,1.0,36.0,0.1322447697559407,0.15915732315040182,12.0
shift_preserve,oracle_s_only,depth4_light,0.16029733237797072,0.02187094156779572,0.44147980503494105,0.18723978328946997,0.24243155492402127,0.12462989919018484,0.3734784644872823,0.010920157715957612,0.0004161091588437557,0.014892961671995,0.0013589265787974,0.0002732046294875656,2.357378082570227e-06,0.0005423531018095152,1.5024720719307104e-05,0.629497555449894,0.7595961694780973,0.6299896565769142,0.7595333464816942,36,0.9722222222222222,0.8583028134672614,0.9950795928601897,36.0,0.14371114341877003,0.1719555352870599,12.0
shift_preserve,oracle_s_only,depth7_high_capacity,0.15911738856094682,0.016772245435501952,0.42074785211539456,0.17201797747969236,0.22172889189499873,0.11640351519023895,0.36189931824913424,0.009720877300947905,0.0023472766809165477,0.016009796022064985,0.004950940442364663,0.00021367072582780222,1.5911537933824195e-05,0.0008433126565556657,4.89004164305688e-05,0.629497555449894,0.7595961694780973,0.6299896565769142,0.7595333464816942,36,1.0,0.9035813714055363,1.0,36.0,0.14292019763397054,0.16584501115258293,12.0
tail_corr,oracle_coords_only,baseline,0.006558080584197969,-0.005746966318055374,0.037327163176396935,0.023750387340471163,0.018976790369062344,0.13662075937269222,0.16722486398967104,0.010532689898647368,0.0023152698129415513,0.01127635387852788,0.003625860227411613,0.00016026008217729843,1.4653464831097299e-05,0.00040018882926020336,6.569562106383453e-05,0.6023570819703821,0.7075805439619901,0.6026473826818417,0.7074098992644825,108,0.7685185185185185,0.6805848684457456,0.8380063642829552,108.0,0.00596965214745368,0.007714032719575305,12.0
tail_corr,oracle_coords_only,depth4_light,0.006290921632537139,-0.005727219914436818,0.036072087291960535,0.022945304896218686,0.018631643979483185,0.14137894006109808,0.16925163178516728,0.011118695935886352,0.001881098946928978,0.010850893063656986,0.003169503320381045,0.00017665532146771422,1.1268490282372128e-05,0.0004200628369738977,4.828247151039681e-05,0.6023570819703821,0.7075805439619901,0.6026473826818417,0.7074098992644825,108,0.75,0.6607046489100945,0.822121671216627,108.0,0.0055315059339393485,0.0072451431807213085,12.0
